100-"Pieris angelika"
101-"Pieris marginalis"
102-"Pieris oleracea"
103-"Ascia monuste"
104-"Euchloe ausonides"
105-"Euchloe creusa"
106-"Euchloe olympia"
108-"Euchloe lotta"
109-"Anthocharis sara"
10-"Erynnis propertius"
110-"Anthocharis stella"
111-"Colias philodice"
112-"Colias eurytheme"
113-"Colias occidentalis"
114-"Colias alexandra"
115-"Colias elis"
116-"Colias hecla"
117-"Colias nastes"
118-"Colias gigantea"
119-"Colias pelidne"
11-"Erynnis horatius"
120-"Colias interior"
121-"Colias palaeno"
122-"Colias canadensis"
123-"Colias christina"
126-"Zerene cesonia"
127-"Phoebis sennae"
128-"Phoebis philea"
129-"Eurema mexicana"
12-"Erynnis martialis"
130-"Pyrisitia lisa"
131-"Abaeis nicippe"
132-"Nathalis iole"
133-"Feniseca tarquinius"
134-"Lycaena phlaeas"
135-"Lycaena cupreus"
136-"Lycaena xanthoides"
137-"Lycaena editha"
138-"Lycaena hyllus"
139-"Lycaena rubidus"
13-"Erynnis pacuvius"
140-"Lycaena heteronea"
141-"Lycaena epixanthe"
142-"Lycaena dorcas"
143-"Lycaena helloides"
144-"Lycaena nivalis"
145-"Lycaena mariposa"
146-"Lycaena dione"
147-"Lycaena dospassosi"
148-"Satyrium behrii"
149-"Satyrium semiluna"
14-"Erynnis zarucco"
150-"Satyrium acadica"
151-"Satyrium californica"
152-"Satyrium sylvinus"
153-"Satyrium edwardsii"
154-"Satyrium calanus"
156-"Satyrium liparops"
157-"Satyrium saepium"
158-"Satyrium titus"
159-"Calycopis cecrops"
15-"Erynnis funeralis"
160-"Callophrys affinis"
161-"Callophrys sheridanii"
162-"Callophrys spinetorum"
163-"Callophrys johnsoni"
164-"Callophrys nelsoni"
165-"Callophrys grynea"
166-"Callophrys augustinus"
167-"Callophrys mossii"
168-"Callophrys polia"
169-"Callophrys irus"
16-"Erynnis lucilius"
170-"Callophrys henrici"
171-"Callophrys niphon"
172-"Callophrys eryphon"
173-"Callophrys lanoraieensis"
174-"Satyrium favonius"
175-"Parrhasius m-album"
176-"Strymon melinus"
177-"Erora laeta"
178-"Leptotes marina"
179-"Echinargus isola"
17-"Erynnis baptisiae"
180-"Cupido comyntas"
181-"Cupido amyntula"
182-"Celastrina ladon"
183-"Celastrina neglecta"
184-"Celastrina serotina"
185-"Celastrina echo"
186-"Celastrina lucia"
187-"Euphilotes battoides"
188-"Euphilotes enoptes"
189-"Euphilotes ancilla"
18-"Erynnis afranius"
190-"Glaucopsyche piasus"
191-"Glaucopsyche lygdamus"
192-"Plebejus idas"
193-"Plebejus anna"
194-"Plebejus melissa"
195-"Plebejus saepiolus"
196-"Plebejus icarioides"
197-"Plebejus shasta"
198-"Plebejus lupini"
199-"Plebejus optilete"
19-"Erynnis persius"
1-"Epargyreus clarus"
200-"Plebejus glandon"
201-"Polyommatus icarus"
202-"Apodemia mormo"
203-"Libytheana carinenta"
204-"Agraulis vanillae"
205-"Euptoieta claudia"
206-"Euptoieta hegesia"
207-"Speyeria cybele"
208-"Speyeria aphrodite"
209-"Speyeria idalia"
20-"Pyrgus centaureae"
210-"Speyeria edwardsii"
211-"Speyeria coronis"
212-"Speyeria zerene"
213-"Speyeria callippe"
214-"Speyeria egleis"
215-"Speyeria atlantis"
216-"Speyeria hydaspe"
217-"Speyeria mormonia"
218-"Speyeria hesperis"
219-"Boloria eunomia"
21-"Pyrgus ruralis"
220-"Boloria myrina"
221-"Boloria bellona"
222-"Boloria frigga"
223-"Boloria improba"
224-"Boloria epithore"
225-"Boloria polaris"
226-"Boloria freija"
227-"Boloria alberta"
228-"Boloria astarte"
229-"Boloria chariclea"
22-"Pyrgus scriptura"
231-"Boloria alaskensis"
232-"Chlosyne gorgone"
233-"Chlosyne nycteis"
234-"Chlosyne harrisii"
235-"Chlosyne palla"
236-"Chlosyne acastus"
237-"Chlosyne damoetas"
238-"Chlosyne hoffmanni"
239-"Phyciodes tharos"
23-"Pyrgus communis"
240-"Phyciodes batesii"
241-"Phyciodes pulchella"
242-"Phyciodes pallidus"
243-"Phyciodes mylitta"
244-"Phyciodes cocyta"
245-"Euphydryas gillettii"
246-"Euphydryas colon"
247-"Euphydryas chalcedona"
248-"Euphydryas editha"
249-"Euphydryas phaeton"
24-"Pholisora catullus"
250-"Euphydryas anicia"
251-"Polygonia interrogationis"
252-"Polygonia comma"
253-"Polygonia satyrus"
254-"Polygonia faunus"
255-"Polygonia gracilis"
256-"Polygonia oreas"
257-"Polygonia progne"
258-"Nymphalis j-album"
259-"Nymphalis californica"
25-"Carterocephalus palaemon"
260-"Nymphalis antiopa"
261-"Aglais milberti"
262-"Vanessa virginiensis"
263-"Vanessa cardui"
264-"Vanessa annabella"
265-"Vanessa atalanta"
266-"Junonia coenia"
267-"Limenitis arthemis arthemis"
268-"Limenitis archippus"
269-"Limenitis weidemeyerii"
26-"Lerema accius"
270-"Limenitis lorquini"
271-"Asterocampa celtis"
272-"Asterocampa clyton"
273-"Lethe anthedon"
274-"Lethe eurydice"
275-"Lethe appalachia"
276-"Megisto cymela"
277-"Coenonympha inornata"
278-"Coenonympha nipisiquit"
279-"Cercyonis pegala"
27-"Ancyloxypha numitor"
280-"Cercyonis sthenele"
281-"Cercyonis oetus"
282-"Erebia vidleri"
283-"Erebia rossii"
284-"Erebia disa"
286-"Erebia fasciata"
287-"Erebia discoidalis"
288-"Erebia pawloskii"
289-"Erebia youngi"
28-"Oarisma poweshiek"
290-"Erebia epipsodea"
291-"Erebia occulta"
293-"Erebia mancinus"
295-"Neominois ridingsii"
296-"Oeneis nevadensis"
297-"Oeneis macounii"
298-"Oeneis chryxus"
299-"Oeneis uhleri"
29-"Oarisma garita"
2-"Urbanus proteus"
300-"Oeneis alberta"
301-"Oeneis bore"
302-"Oeneis balderi"
303-"Oeneis melissa"
304-"Oeneis polixenes"
305-"Oeneis alpina"
307-"Danaus plexippus"
308-"Carterocephalus mandan"
309-"Aglais io"
30-"Thymelicus lineola"
310-"Oeneis calais"
311-"Unknown sp1"
312-"Unknown sp2"
313-"Limenitis arthemis astyanax"
315-"Achalarus casica"
316-"Achalarus toxeus"
31-"Hylephila phyleus"
329-"Agathymus neumoegeni"
32-"Hesperia uncas"
335-"Aguna metophis"
336-"Amblyscirtes aenus"
337-"Amblyscirtes aesculapius"
338-"Amblyscirtes alternata"
339-"Amblyscirtes belli"
33-"Hesperia juba"
340-"Amblyscirtes carolina"
341-"Amblyscirtes cassus"
342-"Amblyscirtes celia"
345-"Amblyscirtes exoteria"
346-"Amblyscirtes fimbriata"
349-"Amblyscirtes nysa"
34-"Hesperia manitoba"
350-"Amblyscirtes phylace"
352-"Amblyscirtes texanae"
355-"Ancyloxypha arene"
358-"Apyrrothrix araxes"
35-"Hesperia ottoe"
360-"Asbolis capucinus"
361-"Astraptes alardus"
363-"Astraptes anaphus"
365-"Astraptes fulgerator"
367-"Atrytonopsis cestus"
368-"Atrytonopsis deva"
369-"Atrytonopsis edwardsi"
36-"Hesperia leonardus"
370-"Atrytonopsis loammi"
371-"Atrytonopsis lunus"
373-"Atrytonopsis python"
375-"Autochton cellus"
380-"Cabares potrillo"
382-"Carrhenes canescens"
383-"Celaenorrhinus fritzgaertneri"
386-"Celotes nessus"
387-"Chioides albofasciatus"
388-"Chioides zilpa"
389-"Chiomara georgina"
395-"Codatractus arizonensis"
399-"Cogia calchas"
39-"Hesperia sassacus"
3-"Achalarus lyciades"
400-"Cogia hippalus"
403-"Copaeodes aurantiaca"
404-"Copaeodes minima"
406-"Cymaenes trebius"
407-"Cymaenes tripunctus"
409-"Decinea percosius"
40-"Hesperia nevada"
